DateTime,WSPD1/A048E,WSPD11/A048E,WSPD12/A048E,WDIR1/A048E,,,,,,,,
08/21/2018 0730,4.3,4.67,4.95,178,,,,,,,,
08/21/2018 0740,4.4,4.78,5.07,178,,,,,,,,
08/21/2018 0750,5,5.44,5.77,176,,,,,,,,
08/21/2018 0800,5,5.44,5.77,184,,,,,,,,
08/21/2018 0810,4.8,5.22,5.54,185,,,,,,,,
08/21/2018 0820,4.5,4.89,5.18,187,,,,,,,,
08/21/2018 0830,4.7,5.11,5.42,180,,,,,,,,
08/21/2018 0840,4.8,5.22,5.54,180,,,,,,,,
08/21/2018 0850,5,5.44,5.77,183,,,,,,,,
08/21/2018 0900,4.8,5.22,5.54,180,,,,,,,,
08/21/2018 0910,4.7,5.11,5.42,177,,,,,,,,
08/21/2018 0920,4.7,5.11,5.42,182,,,,,,,,
08/21/2018 0930,4.4,4.78,5.07,186,,,,,,,,
08/21/2018 0940,4.3,4.67,4.95,184,,,,,,,,
08/21/2018 0950,4.2,4.56,4.83,182,,,,,,,,
08/21/2018 1000,4.3,4.67,4.95,183,,,,,,,,
08/21/2018 1010,4.2,4.56,4.83,179,,,,,,,,
08/21/2018 1020,4.1,4.45,4.72,175,,,,,,,,
08/21/2018 1030,4.4,4.78,5.07,173,,,,,,,,
08/21/2018 1040,4.2,4.56,4.83,171,,,,,,,,
08/21/2018 1050,4,4.34,4.6,175,,,,,,,,
08/21/2018 1100,4.4,4.78,5.07,175,,,,,,,,
08/21/2018 1110,4.2,4.56,4.83,176,,,,,,,,
08/21/2018 1120,4.3,4.67,4.95,173,,,,,,,,
08/21/2018 1130,4.8,5.22,5.54,170,,,,,,,,
08/21/2018 1140,5,5.44,5.77,168,,,,,,,,
08/21/2018 1150,5.2,5.66,6.01,171,,,,,,,,
08/21/2018 1200,5.2,5.66,6.01,163,,,,,,,,
08/21/2018 1210,5,5.44,5.77,166,,,,,,,,
08/21/2018 1220,4.7,5.11,5.42,166,,,,,,,,
08/21/2018 1230,4.7,5.11,5.42,167,,,,,,,,
08/21/2018 1240,6.6,7.21,7.66,181,,,,,,,,
08/21/2018 1250,6.7,7.32,7.78,196,,,,,,,,
08/21/2018 1300,2.4,2.59,2.73,132,,,,,,,,
08/21/2018 1310,2,2.16,2.27,116,,,,,,,,
08/21/2018 1320,3.9,4.23,4.48,156,,,,,,,,
08/21/2018 1330,5,5.44,5.77,158,,,,,,,,
08/21/2018 1340,6.8,7.43,7.9,168,,,,,,,,
08/21/2018 1350,6.2,6.76,7.19,166,,,,,,,,
08/21/2018 1400,4.1,4.45,4.72,130,,,,,,,,
08/21/2018 1410,4.5,4.89,5.18,172,,,,,,,,
08/21/2018 1420,5.5,5.99,6.36,176,,,,,,,,
08/21/2018 1430,6,6.54,6.95,176,,,,,,,,
08/21/2018 1440,6.5,7.09,7.54,183,,,,,,,,
08/21/2018 1450,5.3,5.77,6.13,198,,,,,,,,
08/21/2018 1500,6.2,6.76,7.19,204,,,,,,,,
08/21/2018 1510,5.5,5.99,6.36,200,,,,,,,,
08/21/2018 1520,6.1,6.65,7.07,199,,,,,,,,
08/21/2018 1530,6.1,6.65,7.07,196,,,,,,,,
08/21/2018 1540,5.1,5.55,5.89,190,,,,,,,,
08/21/2018 1550,5.2,5.66,6.01,188,,,,,,,,
08/21/2018 1600,6,6.54,6.95,184,,,,,,,,
08/21/2018 1610,5.6,6.1,6.48,187,,,,,,,,
08/21/2018 1620,5.6,6.1,6.48,184,,,,,,,,
08/21/2018 1630,6.3,6.87,7.31,186,,,,,,,,
08/21/2018 1640,7.7,8.42,8.97,194,,,,,,,,
08/21/2018 1650,8.1,8.86,9.44,207,,,,,,,,
08/21/2018 1700,7.2,7.87,8.38,208,,,,,,,,
08/21/2018 1710,6,6.54,6.95,202,,,,,,,,
08/21/2018 1720,5.5,5.99,6.36,215,,,,,,,,
08/21/2018 1730,5.6,6.1,6.48,207,,,,,,,,
08/21/2018 1740,5.9,6.43,6.83,200,,,,,,,,
08/21/2018 1750,4.8,5.22,5.54,201,,,,,,,,
08/21/2018 1800,5,5.44,5.77,205,,,,,,,,
08/21/2018 1810,4.9,5.33,5.65,198,,,,,,,,
08/21/2018 1820,5.4,5.88,6.24,199,,,,,,,,
08/21/2018 1830,5.9,6.43,6.83,192,,,,,,,,
08/21/2018 1840,6.5,7.09,7.54,197,,,,,,,,
08/21/2018 1850,6.7,7.32,7.78,197,,,,,,,,
08/21/2018 1900,6.8,7.43,7.9,193,,,,,,,,
08/21/2018 1910,6.4,6.98,7.43,198,,,,,,,,
08/21/2018 1920,6.7,7.32,7.78,204,,,,,,,,
08/21/2018 1930,6.7,7.32,7.78,202,,,,,,,,
08/21/2018 1940,6.6,7.21,7.66,205,,,,,,,,
08/21/2018 1950,6.5,7.09,7.54,209,,,,,,,,
08/21/2018 2000,6.7,7.32,7.78,213,,,,,,,,
08/21/2018 2010,6.5,7.09,7.54,208,,,,,,,,
08/21/2018 2020,6.2,6.76,7.19,216,,,,,,,,
08/21/2018 2030,6.1,6.65,7.07,215,,,,,,,,
08/21/2018 2040,6,6.54,6.95,213,,,,,,,,
08/21/2018 2050,6.3,6.87,7.31,208,,,,,,,,
08/21/2018 2100,6.5,7.09,7.54,207,,,,,,,,
08/21/2018 2110,6,6.54,6.95,205,,,,,,,,
08/21/2018 2120,5.9,6.43,6.83,205,,,,,,,,
08/21/2018 2130,6.2,6.76,7.19,198,,,,,,,,
08/21/2018 2140,6,6.54,6.95,201,,,,,,,,
08/21/2018 2150,6,6.54,6.95,204,,,,,,,,
08/21/2018 2200,5.4,5.88,6.24,207,,,,,,,,
08/21/2018 2210,5.2,5.66,6.01,202,,,,,,,,
08/21/2018 2220,5.5,5.99,6.36,206,,,,,,,,
08/21/2018 2230,5.2,5.66,6.01,209,,,,,,,,
08/21/2018 2240,5.1,5.55,5.89,207,,,,,,,,
08/21/2018 2250,4.9,5.33,5.65,213,,,,,,,,
08/21/2018 2300,4.6,5,5.3,211,,,,,,,,
08/21/2018 2310,4.6,5,5.3,204,,,,,,,,
